,id,code,category,parent,value
0,All occupations,,,,59200
1,Management Occupations,11-0000,major,All Occupations,50
2,Top Executives,11-1000,minor,Management Occupations,50
3,Chief Executives,11-1010,broad,Top Executives,50
5,General and Operations Managers,11-1020,broad,Top Executives,50
7,Legislators,11-1030,broad,Top Executives,50
9,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2000,minor,Management Occupations,50
10,Advertising and Promotions Managers,11-2010,broad,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",50
12,Marketing and Sales Managers,11-2020,broad,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",50
13,Marketing Managers,11-2021,detailed,Marketing and Sales Managers,50
14,Sales Managers,11-2022,detailed,Marketing and Sales Managers,50
15,Public Relations and Fundraising Managers,11-2030,broad,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",50
16,Public Relations Managers,11-2032,detailed,Public Relations and Fundraising Managers,50
17,Fundraising Managers,11-2033,detailed,Public Relations and Fundraising Managers,50
18,Operations Specialties Managers,11-3000,minor,Management Occupations,50
19,Administrative Services and Facilities Managers,11-3010,broad,Operations Specialties Managers,50
20,Administrative Services Managers,11-3012,detailed,Administrative Services and Facilities Managers,50
21,Facilities Managers,11-3013,detailed,Administrative Services and Facilities Managers,50
22,Computer and Information Systems Managers,11-3020,broad,Operations Specialties Managers,50
24,Financial Managers,11-3030,broad,Operations Specialties Managers,50
26,Industrial Production Managers,11-3050,broad,Operations Specialties Managers,50
28,Purchasing Managers,11-3060,broad,Operations Specialties Managers,50
30,"Transportation, Storage, and Distribution Managers",11-3070,broad,Operations Specialties Managers,50
32,Compensation and Benefits Managers,11-3110,broad,Operations Specialties Managers,50
34,Human Resources Managers,11-3120,broad,Operations Specialties Managers,50
36,Training and Development Managers,11-3130,broad,Operations Specialties Managers,50
38,Other Management Occupations,11-9000,minor,Management Occupations,50
39,"Farmers, Ranchers, and Other Agricultural Managers",11-9010,broad,Other Management Occupations,50
41,Construction Managers,11-9020,broad,Other Management Occupations,50
43,Education and Childcare Administrators,11-9030,broad,Other Management Occupations,50
44,"Education and Childcare Administrators, Preschool and Daycare",11-9031,detailed,Education and Childcare Administrators,50
45,"Education Administrators, Kindergarten through Secondary",11-9032,detailed,Education and Childcare Administrators,50
46,"Education Administrators, Postsecondary",11-9033,detailed,Education and Childcare Administrators,50
47,"Education Administrators, All Other",11-9039,detailed,Education and Childcare Administrators,50
48,Architectural and Engineering Managers,11-9040,broad,Other Management Occupations,50
50,Food Service Managers,11-9050,broad,Other Management Occupations,50
52,Entertainment and Recreation Managers,11-9070,broad,Other Management Occupations,50
53,Gambling Managers,11-9071,detailed,Entertainment and Recreation Managers,50
54,"Entertainment and Recreation Managers, Except Gambling",11-9072,detailed,Entertainment and Recreation Managers,50
55,Lodging Managers,11-9080,broad,Other Management Occupations,50
57,Medical and Health Services Managers,11-9110,broad,Other Management Occupations,50
59,Natural Sciences Managers,11-9120,broad,Other Management Occupations,50
61,Postmasters and Mail Superintendents,11-9130,broad,Other Management Occupations,50
63,"Property, Real Estate, and Community Association Managers",11-9140,broad,Other Management Occupations,50
65,Social and Community Service Managers,11-9150,broad,Other Management Occupations,50
67,Emergency Management Directors,11-9160,broad,Other Management Occupations,50
69,Personal Service Managers,11-9170,broad,Other Management Occupations,50
70,Funeral Home Managers,11-9171,detailed,Personal Service Managers,50
71,"Personal Service Managers, All Other",11-9179,detailed,Personal Service Managers,50
72,Miscellaneous Managers,11-9190,broad,Other Management Occupations,50
73,"Managers, All Other",11-9199,detailed,Miscellaneous Managers,50
74,Business and Financial Operations Occupations,13-0000,major,All Occupations,50
75,Business Operations Specialists,13-1000,minor,Business and Financial Operations Occupations,50
76,"Agents and Business Managers of Artists, Performers, and Athletes",13-1010,broad,Business Operations Specialists,50
78,Buyers and Purchasing Agents,13-1020,broad,Business Operations Specialists,50
