,id,code,category,parent,value
0,Management Occupations,11-0000,major,All Occupations,50
1,Top Executives,11-1000,minor,Management Occupations,50
2,Chief Executives,11-1010,broad,Top Executives,50
3,Chief Executives,11-1011,detailed,Chief Executives,50
4,General and Operations Managers,11-1020,broad,Top Executives,50
5,General and Operations Managers,11-1021,detailed,General and Operations Managers,50
6,Legislators,11-1030,broad,Top Executives,50
7,Legislators,11-1031,detailed,Legislators,50
8,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2000,minor,Management Occupations,50
9,Advertising and Promotions Managers,11-2010,broad,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",50
10,Advertising and Promotions Managers,11-2011,detailed,Advertising and Promotions Managers,50
11,Marketing and Sales Managers,11-2020,broad,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",50
12,Marketing Managers,11-2021,detailed,Marketing and Sales Managers,50
13,Sales Managers,11-2022,detailed,Marketing and Sales Managers,50
14,Public Relations and Fundraising Managers,11-2030,broad,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",50
15,Public Relations Managers,11-2032,detailed,Public Relations and Fundraising Managers,50
16,Fundraising Managers,11-2033,detailed,Public Relations and Fundraising Managers,50
17,Operations Specialties Managers,11-3000,minor,Management Occupations,50
18,Administrative Services and Facilities Managers,11-3010,broad,Operations Specialties Managers,50
19,Administrative Services Managers,11-3012,detailed,Administrative Services and Facilities Managers,50
20,Facilities Managers,11-3013,detailed,Administrative Services and Facilities Managers,50
21,Computer and Information Systems Managers,11-3020,broad,Operations Specialties Managers,50
22,Computer and Information Systems Managers,11-3021,detailed,Computer and Information Systems Managers,50
23,Financial Managers,11-3030,broad,Operations Specialties Managers,50
24,Financial Managers,11-3031,detailed,Financial Managers,50
25,Industrial Production Managers,11-3050,broad,Operations Specialties Managers,50
26,Industrial Production Managers,11-3051,detailed,Industrial Production Managers,50
27,Purchasing Managers,11-3060,broad,Operations Specialties Managers,50
28,Purchasing Managers,11-3061,detailed,Purchasing Managers,50
29,"Transportation, Storage, and Distribution Managers",11-3070,broad,Operations Specialties Managers,50
30,"Transportation, Storage, and Distribution Managers",11-3071,detailed,"Transportation, Storage, and Distribution Managers",50
31,Compensation and Benefits Managers,11-3110,broad,Operations Specialties Managers,50
32,Compensation and Benefits Managers,11-3111,detailed,Compensation and Benefits Managers,50
33,Human Resources Managers,11-3120,broad,Operations Specialties Managers,50
34,Human Resources Managers,11-3121,detailed,Human Resources Managers,50
35,Training and Development Managers,11-3130,broad,Operations Specialties Managers,50
36,Training and Development Managers,11-3131,detailed,Training and Development Managers,50
37,Other Management Occupations,11-9000,minor,Management Occupations,50
38,"Farmers, Ranchers, and Other Agricultural Managers",11-9010,broad,Other Management Occupations,50
39,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,detailed,"Farmers, Ranchers, and Other Agricultural Managers",50
40,Construction Managers,11-9020,broad,Other Management Occupations,50
41,Construction Managers,11-9021,detailed,Construction Managers,50
42,Education and Childcare Administrators,11-9030,broad,Other Management Occupations,50
